Account ID,Account Name,Row,Access,Project Year,Energy Source,Percent
36158,Comune di Napoli,8,Public,2017,Geothermal,
36158,Comune di Napoli,9,Public,2017,Solar,
36158,Comune di Napoli,10,Public,2017,Unknown sources,
36252,Comune di Oristano,1,Public,2017,Coal,
36252,Comune di Oristano,2,Public,2017,Gas,1
36252,Comune di Oristano,3,Public,2017,Oil,6
36252,Comune di Oristano,4,Public,2017,Nuclear,0
36252,Comune di Oristano,5,Public,2017,Hydro,90
36252,Comune di Oristano,6,Public,2017,Biomass,
36252,Comune di Oristano,7,Public,2017,Wind,
36252,Comune di Oristano,8,Public,2017,Geothermal,
36252,Comune di Oristano,9,Public,2017,Solar,3
36252,Comune di Oristano,10,Public,2017,Unknown sources,
36495,Comune di Piacenza,1,Public,2017,Coal,
36495,Comune di Piacenza,2,Public,2017,Gas,
36495,Comune di Piacenza,3,Public,2017,Oil,
36495,Comune di Piacenza,4,Public,2017,Nuclear,
36495,Comune di Piacenza,5,Public,2017,Hydro,
36495,Comune di Piacenza,6,Public,2017,Biomass,
36495,Comune di Piacenza,7,Public,2017,Wind,
36495,Comune di Piacenza,8,Public,2017,Geothermal,
36495,Comune di Piacenza,9,Public,2017,Solar,
36495,Comune di Piacenza,10,Public,2017,Unknown sources,
36263,Comune di Ravenna,1,Public,2017,Coal,
36263,Comune di Ravenna,2,Public,2017,Gas,
36263,Comune di Ravenna,3,Public,2017,Oil,
36263,Comune di Ravenna,4,Public,2017,Nuclear,
36263,Comune di Ravenna,5,Public,2017,Hydro,
36263,Comune di Ravenna,6,Public,2017,Biomass,
36263,Comune di Ravenna,7,Public,2017,Wind,
36263,Comune di Ravenna,8,Public,2017,Geothermal,
36263,Comune di Ravenna,9,Public,2017,Solar,
36263,Comune di Ravenna,10,Public,2017,Unknown sources,
36265,Comune di Reggio Emilia,1,Public,2017,Coal,
36265,Comune di Reggio Emilia,2,Public,2017,Gas,
36265,Comune di Reggio Emilia,3,Public,2017,Oil,
36265,Comune di Reggio Emilia,4,Public,2017,Nuclear,
36265,Comune di Reggio Emilia,5,Public,2017,Hydro,
36265,Comune di Reggio Emilia,6,Public,2017,Biomass,
36265,Comune di Reggio Emilia,7,Public,2017,Wind,
36265,Comune di Reggio Emilia,8,Public,2017,Geothermal,
36265,Comune di Reggio Emilia,9,Public,2017,Solar,
36265,Comune di Reggio Emilia,10,Public,2017,Unknown sources,
36504,Comune di Rimini,1,Public,2017,Coal,
36504,Comune di Rimini,2,Public,2017,Gas,
36504,Comune di Rimini,3,Public,2017,Oil,
36504,Comune di Rimini,4,Public,2017,Nuclear,
36504,Comune di Rimini,5,Public,2017,Hydro,
36504,Comune di Rimini,6,Public,2017,Biomass,
36504,Comune di Rimini,7,Public,2017,Wind,
36504,Comune di Rimini,8,Public,2017,Geothermal,
36504,Comune di Rimini,9,Public,2017,Solar,
36504,Comune di Rimini,10,Public,2017,Unknown sources,
35886,Comune di Torino,1,Public,2017,Coal,
