Account ID	Account Name	Row	Access	Project Year	Energy Source	Percent
43920	City of Ljubljana	6	Public	2017	Biomass	0
43920	City of Ljubljana	7	Public	2017	Wind	0
43920	City of Ljubljana	8	Public	2017	Geothermal	0
43920	City of Ljubljana	9	Public	2017	Solar	0
43920	City of Ljubljana	10	Public	2017	Unknown sources	0
43926	City of Mannheim	1	Public	2017	Coal	42.3
43926	City of Mannheim	2	Public	2017	Gas	9.4
43926	City of Mannheim	3	Public	2017	Oil	5
43926	City of Mannheim	4	Public	2017	Nuclear	14.2
43926	City of Mannheim	5	Public	2017	Hydro	2.9
43926	City of Mannheim	6	Public	2017	Biomass	7.8
43926	City of Mannheim	7	Public	2017	Wind	1.3
43926	City of Mannheim	8	Public	2017	Geothermal	
43926	City of Mannheim	9	Public	2017	Solar	6
43926	City of Mannheim	10	Public	2017	Unknown sources	
37261	City of Pietermaritzburg	10	Public	2017	Unknown sources	
58569	City of Podgorica	1	Public	2017	Coal	0
58569	City of Podgorica	2	Public	2017	Gas	0
58569	City of Podgorica	3	Public	2017	Oil	0
58569	City of Podgorica	4	Public	2017	Nuclear	0
58569	City of Podgorica	5	Public	2017	Hydro	0
58569	City of Podgorica	6	Public	2017	Biomass	0
58569	City of Podgorica	7	Public	2017	Wind	0
58569	City of Podgorica	8	Public	2017	Geothermal	0
58569	City of Podgorica	9	Public	2017	Solar	0
58569	City of Podgorica	10	Public	2017	Unknown sources	
46514	City of Porto	1	Public	2017	Coal	28.1
46514	City of Porto	2	Public	2017	Gas	20.2
46514	City of Porto	3	Public	2017	Oil	2.5
46514	City of Porto	4	Public	2017	Nuclear	
46514	City of Porto	5	Public	2017	Hydro	18.7
46514	City of Porto	6	Public	2017	Biomass	5.9
46514	City of Porto	7	Public	2017	Wind	22.1
46514	City of Porto	8	Public	2017	Geothermal	0.4
46514	City of Porto	9	Public	2017	Solar	1.5
46514	City of Porto	10	Public	2017	Unknown sources	0.6
54459	City of Reykjavík	1	Public	2017	Coal	0
54459	City of Reykjavík	2	Public	2017	Gas	0
54459	City of Reykjavík	3	Public	2017	Oil	0
54459	City of Reykjavík	4	Public	2017	Nuclear	0
54459	City of Reykjavík	5	Public	2017	Hydro	70
54459	City of Reykjavík	6	Public	2017	Biomass	0
54459	City of Reykjavík	7	Public	2017	Wind	0
54459	City of Reykjavík	8	Public	2017	Geothermal	30
54459	City of Reykjavík	9	Public	2017	Solar	0
54459	City of Reykjavík	10	Public	2017	Unknown sources	
50154	City of Turku	1	Public	2017	Coal	14.7
50154	City of Turku	2	Public	2017	Gas	6.4
50154	City of Turku	3	Public	2017	Oil	0.4
50154	City of Turku	4	Public	2017	Nuclear	23.4
50154	City of Turku	5	Public	2017	Hydro	17.4
50154	City of Turku	6	Public	2017	Biomass	16.5
50154	City of Turku	7	Public	2017	Wind	2.4
50154	City of Turku	8	Public	2017	Geothermal	0
50154	City of Turku	9	Public	2017	Solar	0
50154	City of Turku	10	Public	2017	Unknown sources	18.8
54497	City of Wroclaw	1	Public	2017	Coal	96
54497	City of Wroclaw	2	Public	2017	Gas	2
54497	City of Wroclaw	3	Public	2017	Oil	0
54497	City of Wroclaw	4	Public	2017	Nuclear	0
54497	City of Wroclaw	5	Public	2017	Hydro	2
54497	City of Wroclaw	6	Public	2017	Biomass	0
54497	City of Wroclaw	7	Public	2017	Wind	0
54497	City of Wroclaw	8	Public	2017	Geothermal	0
54497	City of Wroclaw	9	Public	2017	Solar	0
54497	City of Wroclaw	10	Public	2017	Unknown sources	
59298	City of Yaoundé 6	1	Public	2017	Coal	0
59298	City of Yaoundé 6	2	Public	2017	Gas	0
59298	City of Yaoundé 6	3	Public	2017	Oil	0
59298	City of Yaoundé 6	4	Public	2017	Nuclear	0
59298	City of Yaoundé 6	5	Public	2017	Hydro	73.4
59298	City of Yaoundé 6	6	Public	2017	Biomass	0.4
59298	City of Yaoundé 6	7	Public	2017	Wind	0.3
59298	City of Yaoundé 6	8	Public	2017	Geothermal	25.6
59298	City of Yaoundé 6	9	Public	2017	Solar	0.3
59298	City of Yaoundé 6	10	Public	2017	Unknown sources	
36261	Comune di Bolzano	1	Public	2017	Coal	
36261	Comune di Bolzano	2	Public	2017	Gas	
36261	Comune di Bolzano	3	Public	2017	Oil	
36261	Comune di Bolzano	4	Public	2017	Nuclear	
36261	Comune di Bolzano	5	Public	2017	Hydro	100
36261	Comune di Bolzano	6	Public	2017	Biomass	
36261	Comune di Bolzano	7	Public	2017	Wind	
36261	Comune di Bolzano	8	Public	2017	Geothermal	
36261	Comune di Bolzano	9	Public	2017	Solar	
36261	Comune di Bolzano	10	Public	2017	Unknown sources	
36286	Comune di Ferrara	1	Public	2017	Coal	23.7
36286	Comune di Ferrara	2	Public	2017	Gas	33.1
36286	Comune di Ferrara	3	Public	2017	Oil	1
36286	Comune di Ferrara	4	Public	2017	Nuclear	4.2
36286	Comune di Ferrara	5	Public	2017	Hydro	20
36286	Comune di Ferrara	6	Public	2017	Biomass	5
36286	Comune di Ferrara	7	Public	2017	Wind	4
36286	Comune di Ferrara	8	Public	2017	Geothermal	1
36286	Comune di Ferrara	9	Public	2017	Solar	8
36286	Comune di Ferrara	10	Public	2017	Unknown sources	
36262	Comune di Genova	1	Public	2017	Coal	15
36262	Comune di Genova	2	Public	2017	Gas	40
36262	Comune di Genova	3	Public	2017	Oil	1
